Date,001M,002M,003M,006M,009M,012M,018M,024M,036M,048M,060M,084M,120M,180M,240M,300M,360M
20100113,0.019954576,0.031820125,0.053260238,0.143581302,0.241715494,0.361183353,0.667007453,0.985885971,1.541939753,2.086434009,2.556366692,3.287658909,3.797627121,4.234437997,4.473385058,4.617138095,4.701501186
20100114,0.019638362,0.03340484,0.056236831,0.139630749,0.228721455,0.348402643,0.635571518,0.944091552,1.499613908,2.044717405,2.514510916,3.239911447,3.747037007,4.172851584,4.40184702,4.538779881,4.620026106
20100115,0.023336955,0.038570909,0.062863712,0.14781053,0.226551629,0.329638582,0.600340331,0.887213196,1.450062599,1.983874485,2.445425798,3.168486015,3.689621134,4.121742909,4.354956874,4.492900859,4.575537439
20100118,0.021284833,0.038056124,0.062898872,0.146344017,0.222054208,0.323940441,0.59801638,0.887276171,1.450061644,1.983874973,2.445427771,3.168486672,3.689619803,4.121741536,4.354955975,4.492900375,4.575540589
20100119,0.03055695,0.034855565,0.053572145,0.141239695,0.215852343,0.320638989,0.613246714,0.912977767,1.470189572,2.009545147,2.473574002,3.19085766,3.70551613,4.133045005,4.36334875,4.500401172,4.581330916
20100120,0.025347074,0.032133018,0.050274886,0.132587776,0.21415814,0.320846526,0.603706113,0.903842261,1.458230774,1.985837604,2.441147798,3.150975624,3.661927971,4.08740381,4.314816635,4.449884216,4.530498665
20100121,0.012591255,0.0232782,0.043965643,0.129506027,0.199507686,0.301519631,0.571215032,0.861300196,1.403432412,1.922495408,2.373040603,3.089123642,3.602905807,4.034563758,4.267971038,4.407693564,4.490777125
20100122,0.015717145,0.029477537,0.054455454,0.140215842,0.204211624,0.296559856,0.545130576,0.822312984,1.386677314,1.923438025,2.378791721,3.099327654,3.627067936,4.065625529,4.301460524,4.443201508,4.52713885
20100125,0.017755778,0.029688938,0.052696932,0.138066346,0.207602232,0.305071583,0.565907,0.847698274,1.409516633,1.939888271,2.397243099,3.119382257,3.644904983,4.082425041,4.318681338,4.458776507,4.542258839
20100126,0.025417543,0.043829476,0.064797448,0.140946482,0.211710903,0.307987217,0.56199482,0.840859407,1.402771995,1.924284897,2.378316423,3.103092705,3.637114957,4.081885367,4.321361694,4.464088115,4.547880839
20100127,0.017922402,0.045668559,0.073711026,0.155937457,0.228741654,0.331189789,0.612728161,0.914390039,1.465778929,1.982150058,2.428196741,3.145837786,3.665089683,4.100766938,4.334996185,4.475048195,4.557860106
20100128,0.015531128,0.045744913,0.074645009,0.141655816,0.20774107,0.309185232,0.569578074,0.859344195,1.41891985,1.929173631,2.378075215,3.118653416,3.652690863,4.092303067,4.324566649,4.462300197,4.544422354
20100129,0.016026576,0.050394509,0.081049048,0.152279626,0.213434327,0.304526442,0.545930479,0.817390856,1.374542774,1.882140161,2.322318678,3.061560584,3.608135886,4.045903952,4.271912752,4.405890017,4.486107206
20100201,0.047790997,0.070113395,0.093582687,0.162109528,0.231289615,0.328733428,0.581162799,0.858250259,1.419071221,1.923847904,2.370324647,3.12280165,3.670746727,4.111991987,4.341637958,4.475945172,4.556656758
20100202,0.045535235,0.071931426,0.090188855,0.162635076,0.225913064,0.3196626,0.577977619,0.859740547,1.417592764,1.915675818,2.358361507,3.10405906,3.661145924,4.107832391,4.338329927,4.473595347,4.553810139
